date;quote
01-01;Uusi vuosi alkaa yhdestä rauhallisesta hetkestä.
01-02;Tänään riittää, että otat seuraavan pienen askeleen.
01-03;Hyvä päivä voi alkaa aivan tavallisesta aamusta.
01-04;Lempeys itseä kohtaan on viisautta arjessa.
01-05;Pieni järjestys pöydällä voi tuoda tilaa myös mieleen.
01-06;Valo lisääntyy vähitellen, niin moni muukin hyvä asia.
01-07;Jokainen opittu asia tekee seuraavasta kerrasta helpomman.
01-08;Kiire ei aina vie perille nopeammin kuin rauha.
01-09;Tänäänkin saa kysyä apua ja opetella.
01-10;Ystävällinen sana voi muuttaa koko hetken.
01-11;Muistot kantavat, mutta tämäkin päivä saa olla uusi.
01-12;Pienikin ulkoilu voi virkistää ajatuksia.
01-13;Hyvä arki rakentuu usein hyvin pienistä asioista.
01-14;Kun jokin tuntuu vaikealta, sen saa jakaa osiin.
01-15;Tänään ei tarvitse osata kaikkea.
01-16;Rauhallinen hengitys antaa ajatuksille tilaa.
01-17;Jokainen yhteydenotto voi olla pieni silta toiseen ihmiseen.
01-18;Aamun ensimmäinen kuppi voi olla päivän oma juhlahetki.
01-19;Vanha taito ja uusi tieto mahtuvat samaan päivään.
01-20;Hyvä mieli kasvaa usein huomaamattomista teoista.
01-21;Tänään voi valita yhden asian, joka tekee olon kevyemmäksi.
01-22;Oppiminen ei kysy ikää, vain uteliaisuutta.
01-23;Hiljainen hetki voi olla täynnä voimaa.
01-24;Päivä saa edetä omaa tahtiaan.
01-25;Kun pysähdyt katsomaan, arjessa näkyy paljon hyvää.
01-26;Pieni kiitos tekee maailmasta vähän lämpimämmän.
01-27;Jos jokin ei onnistu heti, se ei ole epäonnistuminen.
01-28;Tänään saa aloittaa alusta, vaikka eilen jäi kesken.
01-29;Yhteys toiseen ihmiseen on arjen arvokkaita asioita.
01-30;Hyvä neuvo oikeaan aikaan säästää monta mutkaa.
01-31;Talven keskelläkin on valoa, kun sitä etsii rauhassa.
02-01;Helmikuu muistuttaa, että kevät etenee hiljaa.
02-02;Pienet rutiinit pitävät arjen lempeästi koossa.
02-03;Tänään voi tehdä yhden asian vähän helpommin.
02-04;Hyvä lepo on myös tekemistä, se hoitaa voimia.
02-05;Jokainen päivä antaa mahdollisuuden huomata jotain kaunista.
02-06;Tieto kasvaa kysymällä.
02-07;Apu ei vähennä omia taitoja, se vahvistaa niitä.
02-08;Ystävällisyys on taito, joka sopii jokaiseen päivään.
02-09;Kun malttaa hetken, ratkaisu löytyy usein lähempää kuin arvaa.
02-10;Tänään saa olla keskeneräinen.
02-11;Pieni onnistuminen kannattaa huomata ääneen.
02-12;Arjen rohkeus on joskus vain uuden napin painamista.
